Date,BTC,SPX
2025-01-16,99756.90625,5937.33984375
2025-01-17,104462.0390625,5996.66015625
2025-01-21,106146.265625,6049.240234375
2025-01-22,103653.0703125,6086.3701171875
2025-01-23,103960.171875,6118.7099609375
2025-01-24,104819.484375,6101.240234375
2025-01-27,102087.6875,6012.27978515625
2025-01-28,101332.4765625,6067.7001953125
2025-01-29,103703.2109375,6039.31005859375
2025-01-30,104735.3046875,6071.169921875
2025-01-31,102405.0234375,6040.52978515625
2025-02-03,101405.421875,5994.56982421875
2025-02-04,97871.8203125,6037.8798828125
2025-02-05,96615.4453125,6061.47998046875
2025-02-06,96593.296875,6083.56982421875
2025-02-07,96529.0859375,6025.990234375
2025-02-10,97437.5546875,6066.43994140625
2025-02-11,95747.4296875,6068.5
2025-02-12,97885.859375,6051.97021484375
2025-02-13,96623.8671875,6115.06982421875
2025-02-14,97508.96875,6114.6298828125
2025-02-18,95539.546875,6129.580078125
2025-02-19,96635.609375,6144.14990234375
2025-02-20,98333.9375,6117.52001953125
2025-02-21,96125.546875,6013.1298828125
2025-02-24,91418.171875,5983.25
2025-02-25,88736.171875,5955.25
2025-02-26,84347.0234375,5956.06005859375
2025-02-27,84704.2265625,5861.56982421875
2025-02-28,84373.0078125,5954.5
2025-03-03,86065.671875,5849.72021484375
2025-03-04,87222.1953125,5778.14990234375
2025-03-05,90623.5625,5842.6298828125
2025-03-06,89961.7265625,5738.52001953125
2025-03-07,86742.671875,5770.2001953125
2025-03-10,78532.0,5614.56005859375
2025-03-11,82862.2109375,5572.06982421875
2025-03-12,83722.359375,5599.2998046875
2025-03-13,81066.703125,5521.52001953125
2025-03-14,83969.1015625,5638.93994140625
2025-03-17,84075.6875,5675.1201171875
2025-03-18,82718.5,5614.66015625
2025-03-19,86854.2265625,5675.2900390625
2025-03-20,84167.1953125,5662.89013671875
2025-03-21,84043.2421875,5667.56005859375
2025-03-24,87498.9140625,5767.56982421875
2025-03-25,87471.703125,5776.64990234375
2025-03-26,86900.8828125,5712.2001953125
2025-03-27,87177.1015625,5693.31005859375
2025-03-28,84353.1484375,5580.93994140625
2025-03-31,82548.9140625,5611.85009765625
2025-04-01,85169.171875,5633.06982421875
2025-04-02,82485.7109375,5670.97021484375
2025-04-03,83102.828125,5396.52001953125
2025-04-04,83843.8046875,5074.080078125
2025-04-07,79235.3359375,5062.25
2025-04-08,76271.953125,4982.77001953125
2025-04-09,82573.953125,5456.89990234375
2025-04-10,79626.140625,5268.0498046875
2025-04-11,83404.8359375,5363.35986328125
2025-04-14,84542.390625,5405.97021484375
2025-04-15,83668.9921875,5396.6298828125
2025-04-16,84033.8671875,5275.7001953125
2025-04-17,84895.75,5282.7001953125
2025-04-21,87518.90625,5158.2001953125
2025-04-22,93441.890625,5287.759765625
2025-04-23,93699.109375,5375.85986328125
2025-04-24,93943.796875,5484.77001953125
2025-04-25,94720.5,5525.2099609375
2025-04-28,94978.75,5528.75
2025-04-29,94284.7890625,5560.830078125
2025-04-30,94207.3125,5569.06005859375
2025-05-01,96492.3359375,5604.14013671875
2025-05-02,96910.0703125,5686.669921875
2025-05-05,94748.0546875,5650.3798828125
2025-05-06,96802.4765625,5606.91015625
2025-05-07,97032.3203125,5631.27978515625
